sample,along_scan,along_track,scan_angle,pix_area
436,0.52729,0.670883,52.1828,0.353749897
437,0.52688,0.670678,52.1739,0.353366825
438,0.526472,0.670472,52.165,0.352984735
439,0.526064,0.670267,52.1561,0.352603339
440,0.525657,0.670062,52.1472,0.352222781
441,0.52525,0.669857,52.1383,0.351842389
442,0.524844,0.669653,52.1294,0.351463359
443,0.524439,0.669448,52.1205,0.35108464
444,0.524035,0.669244,52.1116,0.35070728
445,0.52363,0.66904,52.1027,0.350329415
446,0.523227,0.668836,52.0938,0.349953054
447,0.522824,0.668632,52.0849,0.349576857
448,0.522422,0.668429,52.076,0.349202015
449,0.52202,0.668225,52.0672,0.348826815
450,0.521619,0.668022,52.0583,0.348452968
451,0.521219,0.667819,52.0494,0.348079951
452,0.520819,0.667617,52.0405,0.347707618
453,0.52042,0.667414,52.0316,0.347335594
454,0.520021,0.667211,52.0227,0.346963731
455,0.519623,0.667009,52.0138,0.346593218
456,0.519226,0.666807,52.0049,0.346223531
457,0.518829,0.666605,51.996,0.345854006
458,0.518433,0.666403,51.9871,0.345485306
459,0.518037,0.666202,51.9782,0.345117285
460,0.517642,0.666,51.9693,0.344749572
461,0.517248,0.665799,51.9604,0.344383201
462,0.516854,0.665598,51.9515,0.344016989
463,0.51646,0.665397,51.9427,0.343650935
464,0.516068,0.665197,51.9338,0.343286885
465,0.515676,0.664996,51.9249,0.342922477
466,0.515284,0.664796,51.916,0.342558742
467,0.514894,0.664596,51.9071,0.342196493
468,0.514503,0.664396,51.8982,0.341833735
469,0.514113,0.664196,51.8893,0.341471798
470,0.513724,0.663997,51.8804,0.341111195
471,0.513336,0.663797,51.8715,0.340750897
472,0.512947,0.663598,51.8626,0.340390603
473,0.51256,0.663399,51.8537,0.340031791
474,0.512173,0.6632,51.8448,0.339673134
475,0.511787,0.663001,51.8359,0.339315293
476,0.511401,0.662802,51.827,0.338957606
477,0.511016,0.662604,51.8182,0.338601246
478,0.510632,0.662406,51.8093,0.338245701
479,0.510248,0.662208,51.8004,0.337890308
480,0.509865,0.66201,51.7915,0.337535729
481,0.509482,0.661812,51.7826,0.337181301
